unit_id,date,kri_failed_txn_7d,kri_downtime_hours_30d,kri_queue_len_mean_14d,incidents_count_90d,sum_loss_amt_365d,days_since_last_incident,num_controls,avg_control_effectiveness,pct_controls_tested_12m,open_audit_finding_count,attrition_rate_90d,avg_tenure_months,major_release_last_30d,open_changes_count,incident_narrative,regulatory_alert_score,third_party_incident_count,target_event_30d,target_severity_amt
UNIT_014,5/8/24,1,0.668,6,1,255.46,365,7,3.318,0.305,0,0.0243,42.1,0,0,,0.074,0,0,0
UNIT_060,7/18/23,3,2.98,5,3,4465.79,363,13,3.126,0.422,0,0.0284,40.06,0,0,,0.181,0,0,0
UNIT_023,12/15/23,2,4.645,0,0,1324.14,303,16,3.767,0.122,1,0.0268,52.89,1,2,,0.337,0,0,0
UNIT_020,6/22/24,3,6.839,8,4,158.01,263,5,3.814,0.545,0,0.016,73.76,1,5,,0.387,0,0,0
UNIT_055,6/15/24,3,3.566,11,0,2145.94,17,13,2.197,0.463,1,0.0294,103.22,0,0,,0.069,0,0,0
UNIT_119,12/29/23,1,5.867,5,0,8072.02,190,9,2.523,0.457,0,0.0035,73.7,0,0,Near miss detected during scheduled change. No loss recorded.,0.143,0,0,0
UNIT_005,6/1/23,2,2.27,1,2,2630.79,190,5,3.311,0.107,0,0.0183,10.16,0,0,,0.235,0,0,0
UNIT_088,1/3/24,3,5.606,8,2,8670.33,45,1,4.284,0.133,0,0.0313,26.56,0,0,,0.137,0,0,0
UNIT_091,11/16/24,2,3.852,13,3,2758.13,366,20,5,0.056,0,0.0232,48.85,0,0,,0.086,0,1,4845.87
UNIT_012,6/3/23,2,3.621,11,2,1550.92,311,20,1.5,0.159,1,0.0192,63.87,0,2,Process failure leading to 11222 loss; root cause: human error; impacted accounts: multiple.,0.27,0,1,19743.14
UNIT_021,3/14/23,5,6.71,12,3,3640.13,379,11,3.611,0.175,0,0.0415,31.54,1,3,,0.144,0,0,0
UNIT_080,9/10/24,4,7.272,6,2,1592.53,241,8,3.226,0.332,1,0.0122,1,0,0,,0.54,0,0,0
UNIT_004,3/11/23,3,3.365,9,5,15549.24,249,1,3.811,0.283,0,0.0044,67.68,0,0,,0.019,0,0,0
UNIT_097,1/29/24,2,4.736,0,0,102.19,154,25,2.605,0.072,0,0.0239,55.11,0,0,,0.086,0,0,0
UNIT_078,3/17/24,6,1.582,6,0,4919.84,139,11,3.362,0.059,2,0.0035,16.72,0,1,,0.042,0,0,0
UNIT_094,9/12/23,3,3.882,10,0,8335.15,387,6,2.551,0.631,1,0.0126,45.26,0,0,,0.433,1,0,0
UNIT_096,6/18/24,5,2.54,4,1,12353.95,187,19,3.407,0.558,0,0.0326,5.13,0,0,,0.04,0,0,0
UNIT_081,10/12/23,2,4.057,15,0,632.67,279,1,1.603,0.307,0,0.0086,43.53,0,0,,0.187,1,1,561.81
UNIT_058,5/25/23,1,3.077,9,1,1949.12,322,14,2.055,0.286,2,0.0272,76.8,0,0,Near miss detected during scheduled change. No loss recorded.,0.496,1,0,0
UNIT_048,9/25/23,8,5.129,13,4,1407.32,151,13,3.835,0.379,2,0.0313,91.21,0,0,,0.287,1,0,0
UNIT_068,2/14/24,5,3.42,9,2,757.81,194,17,2.603,0.397,0,0.0274,70.93,0,1,,0.034,0,0,0
UNIT_092,12/26/23,3,3.569,8,0,1084.67,131,19,1.637,0.009,2,0.0191,80.54,0,1,Process failure leading to 10902 loss; root cause: human error; impacted accounts: multiple.,0.077,0,0,0
UNIT_024,12/13/23,5,2.157,13,5,746.42,318,21,4.298,0.149,1,0.0206,80.72,0,0,Process failure leading to 14723 loss; root cause: human error; impacted accounts: multiple.,0.159,0,0,0
UNIT_065,3/4/23,6,5.333,4,1,11958.69,295,2,5,0.67,0,0.0305,44.17,0,0,,0.207,2,0,0
UNIT_116,11/20/23,13,9.399,18,6,16236.11,392,6,4.652,0.065,1,0.0455,45.81,0,0,Process failure leading to 117472 loss; root cause: human error; impacted accounts: multiple.,0.11,0,0,0
UNIT_095,9/18/24,4,3.098,5,0,360.72,161,1,2.521,0.426,0,0.0304,74.18,0,0,,0.131,0,0,0
UNIT_080,1/5/24,1,4.772,10,3,13524.43,250,19,3.333,0.45,0,0.013,11.39,0,0,,0.243,0,0,0
UNIT_041,7/7/23,1,4.523,11,1,5596.74,106,8,2.704,0.204,2,0.017,78.56,0,0,,0.241,0,0,0
UNIT_101,2/23/24,4,4.113,9,0,19.04,202,9,3.27,0.54,0,0,86.01,0,0,,0.768,0,0,0
UNIT_062,3/28/23,4,5.538,11,4,4008.75,111,18,4.277,0.08,0,0.0228,5.33,0,0,,0.307,0,0,0
UNIT_028,8/7/24,2,6.896,11,2,5368.51,135,19,4.433,0.53,1,0.0278,32.93,0,0,,0.434,0,0,0
UNIT_008,1/2/23,2,4.535,6,3,225.6,248,1,2.357,0.547,3,0.027,68.83,1,2,,0.069,0,0,0
UNIT_033,1/19/23,9,5.947,14,1,4110.77,334,9,2.665,0.518,1,0.0295,9.16,0,0,,0.295,0,0,0
UNIT_103,12/6/23,1,6.814,6,3,2307.99,325,5,3.421,0.286,1,0.0183,28.75,0,0,,0.617,2,0,0
UNIT_089,11/5/24,4,4.97,9,2,1769.56,392,20,4.697,0.368,2,0.0204,106.07,0,1,,0.327,0,0,0
UNIT_081,12/25/24,3,1.85,6,2,5791.99,122,1,1.892,0.013,1,0.0091,14.5,1,6,,0.058,1,0,0
UNIT_052,11/17/24,1,2.119,9,0,212.27,321,21,5,0.52,1,0.0302,23.52,0,0,,0.543,1,0,0
UNIT_080,9/20/24,2,2.224,15,3,1850.91,261,10,1.952,0.475,1,0.0184,83.51,0,0,,0.226,0,0,0
UNIT_006,10/29/23,1,4.13,4,3,1131.19,68,20,2.094,0.065,0,0.0298,59.33,0,1,,0.568,1,0,0
UNIT_009,3/2/24,4,5.564,10,1,1298.51,216,8,2.915,0.264,0,0.0122,15.83,1,2,,0.482,0,0,0
UNIT_004,3/19/23,4,5.651,16,0,10823.15,322,1,3.146,0.05,1,0.0234,56.76,1,2,Near miss detected during scheduled change. No loss recorded.,0.176,1,0,0
UNIT_044,11/5/24,3,5.521,7,1,10645.84,120,11,2.516,0.37,1,0.0113,52.43,0,0,,0.394,0,0,0
UNIT_050,12/11/24,2,4.374,8,2,5523.14,360,3,3.711,0.351,0,0.0467,62.3,0,0,,0.138,0,0,0
UNIT_117,1/8/23,2,5.738,12,2,1370.52,99,3,3.36,0.076,0,0.0215,56.31,1,0,,0.497,1,0,0
UNIT_062,2/26/24,5,6.79,9,1,1355.11,284,21,4.287,0.184,0,0.0264,94.69,0,1,,0.268,0,0,0
UNIT_103,5/11/23,3,2.855,11,0,7029.82,87,12,3.584,0.082,1,0.0049,105.08,0,0,Process failure leading to 35294 loss; root cause: human error; impacted accounts: multiple.,0.075,1,0,0
UNIT_018,4/4/23,1,3.051,7,1,802.77,208,8,2.454,0.035,1,0,60.9,0,0,,0.162,1,0,0
UNIT_092,10/8/23,7,4.821,15,3,1064.65,253,18,1.241,0.373,2,0.0313,21.96,0,0,,0.249,0,0,0
UNIT_027,1/12/24,4,2.463,4,1,2345.15,91,14,3.28,0.214,2,0.0256,25.88,0,0,,0.432,0,1,12831.85
UNIT_079,1/4/23,4,2.581,9,0,1422.14,394,13,2.069,0.043,0,0.0191,56.99,0,1,,0.682,0,0,0
UNIT_080,12/9/23,2,4.956,15,2,2293.47,378,13,2.172,0.142,1,0.0156,93.96,0,0,,0.116,0,0,0
UNIT_113,2/26/24,2,2.48,13,1,9685.87,167,6,2.544,0.021,0,0.0035,49.51,0,0,Near miss detected during scheduled change. No loss recorded.,0.573,0,0,0
UNIT_073,3/18/23,9,4.667,10,0,642.6,297,1,3.564,0.432,3,0.0297,13.28,0,0,Process failure leading to 15496 loss; root cause: human error; impacted accounts: multiple.,0.015,1,0,0
UNIT_107,11/21/24,2,1.703,17,2,6214.07,270,1,3.727,0.286,0,0.0147,1,0,0,,0.401,0,0,0
UNIT_063,1/14/23,5,4.282,4,2,2000.67,294,11,2.512,0.551,0,0.0094,22.51,0,1,,0.449,0,0,0
UNIT_054,2/10/23,7,8.598,11,2,72.01,78,21,3.223,0.25,0,0.0218,14.95,0,0,,0.667,0,0,0
UNIT_013,1/27/23,1,3.906,9,1,4079.52,238,18,4.019,0.427,0,0.0422,19.8,0,1,,0.041,0,0,0
UNIT_053,9/11/23,6,2.622,5,2,3505.16,201,12,3.63,0.114,1,0.0103,18.13,0,0,,0.331,1,0,0
UNIT_083,11/30/23,3,4.425,10,0,273.48,144,2,2.197,0.375,1,0.0377,65.83,0,1,,0.201,0,0,0
UNIT_039,7/17/24,3,4.115,0,0,4748.42,117,8,4.334,0.142,2,0.031,110.4,0,0,,0.266,0,0,0
UNIT_030,1/15/23,5,6.619,7,2,7403.4,341,22,3.322,0.208,0,0.0322,50.16,0,0,,0.526,0,0,0
UNIT_052,1/13/24,1,2.041,6,1,998.35,319,24,4.044,0.732,1,0.0369,117.38,0,0,,0.326,0,0,0
UNIT_001,10/6/23,5,2.504,8,1,4983.46,141,1,2.057,0.083,0,0.0166,1,0,0,,0.117,0,0,0
UNIT_106,9/20/24,8,8.604,19,4,40127.55,45,23,2.139,0.115,0,0.0438,102.54,1,2,,0.357,0,0,0
UNIT_078,1/4/23,3,4.567,8,1,4079.24,123,13,4.102,0.377,0,0.012,21.84,1,2,,0.367,0,0,0
UNIT_038,5/16/24,2,5.847,7,1,10324.62,179,1,2.886,0.095,1,0.0032,87.18,0,0,Process failure leading to 4247 loss; root cause: human error; impacted accounts: multiple.,0.23,2,0,0
UNIT_101,1/22/23,6,6.57,11,2,797.12,178,7,4.138,0.42,0,0.024,34.98,0,0,,0.35,0,0,0
UNIT_045,1/26/24,2,0.223,10,0,7545.42,207,20,1,0.229,2,0.003,17.31,0,0,,0.009,0,0,0
UNIT_012,12/15/23,3,5.952,18,3,7851.5,330,23,3.231,0.406,1,0.0263,15.55,0,0,,0.349,0,0,0
UNIT_025,3/5/23,4,5.637,0,0,4259.9,107,17,4.31,0.446,1,0.0256,76.94,0,0,,0.236,1,0,0
UNIT_100,1/21/24,2,3.159,4,0,1036.53,91,15,3.375,0.401,1,0.018,27.02,0,0,,0.266,0,0,0
UNIT_069,10/27/24,8,5.668,11,4,4331.35,198,14,3.827,0.48,0,0.0355,66.7,0,1,,0.297,0,0,0
UNIT_043,5/22/24,6,5.327,15,0,6360.11,355,5,4.941,0.233,0,0.0197,38,0,0,,0.306,1,0,0
UNIT_107,9/28/24,5,4.755,7,1,120.87,373,1,2.617,0.729,1,0.0206,58.05,0,1,,0.096,0,0,0
UNIT_114,4/30/23,2,2.131,16,3,1264.12,220,9,3.754,0.245,0,0.0156,61.02,0,0,,0.165,0,0,0
UNIT_009,9/20/24,5,3.567,12,2,4859.69,221,11,2.525,0.418,0,0.0172,65.27,0,0,,0.408,0,0,0
UNIT_040,5/19/24,4,3.706,10,1,6993.94,226,12,1.432,0.043,0,0.0198,60.38,0,1,,0.508,1,0,0
UNIT_030,4/12/23,7,6.152,14,1,6437.72,356,20,3.831,0.51,1,0.0185,118.72,0,0,,0.195,0,0,0
UNIT_017,7/17/24,8,3.413,10,1,107.37,114,15,3.528,0.097,1,0.0382,1,0,1,,0.047,0,0,0
UNIT_076,12/23/24,9,7.68,13,4,8130.58,369,5,4.422,0.406,1,0.0112,25.26,0,0,,0.354,0,0,0
UNIT_054,8/24/23,3,5.746,9,3,763.02,50,24,3.32,0.376,2,0.0534,10.86,0,0,,0.377,0,0,0
UNIT_011,3/27/24,3,5.291,13,1,8191.85,348,11,2.37,0.142,1,0.0034,1,0,1,,0.402,0,1,13711.68
UNIT_047,8/26/24,4,2.109,6,1,9620.91,239,13,2.214,0.32,3,0.0139,57.55,1,2,Process failure leading to 14004 loss; root cause: human error; impacted accounts: multiple.,0.089,0,0,0
UNIT_073,8/13/24,3,5.512,7,4,4031.72,351,10,3.198,0.35,0,0.0515,39.97,0,0,,0.267,0,0,0
UNIT_110,1/2/24,5,1.412,11,1,800.96,120,6,1.442,0.148,0,0.0195,66.14,0,0,,0.067,0,0,0
UNIT_063,3/20/23,1,5.845,8,3,377.69,69,9,3.177,0.577,3,0.038,45.78,0,0,,0.209,0,0,0
UNIT_088,1/12/23,9,3.863,5,0,3294.6,281,1,5,0.233,0,0.0126,46.95,1,1,,0.36,1,0,0
UNIT_023,12/26/23,3,2.28,5,1,704.54,361,17,4.546,0.401,1,0.0252,41.23,0,0,,0.506,0,0,0
UNIT_105,1/22/24,2,2.162,9,1,2538.77,20,16,2.91,0.164,1,0.0253,40.72,1,3,,0.131,0,0,0
UNIT_014,6/28/24,2,3.183,5,0,246.59,355,8,2.206,0.351,0,0.0226,21.21,0,0,,0.181,0,0,0
UNIT_046,5/21/24,1,1.236,4,0,794.02,28,22,5,0.077,0,0.049,1,0,1,,0.326,0,0,0
UNIT_024,4/12/23,3,5.607,9,2,9296.96,98,27,4.746,0.386,1,0.0052,48.9,1,4,,0.409,0,0,0
UNIT_081,6/14/23,5,2.233,8,1,3555.3,31,1,2.546,0.52,1,0.0176,54.69,0,0,,0.136,0,0,0
UNIT_039,3/4/24,4,7.033,5,2,2763.44,209,9,3.647,0.214,0,0.0232,79.51,0,0,,0.211,0,0,0
UNIT_036,7/30/24,1,5.149,13,0,934.48,209,8,4.448,0.156,0,0.0199,26.77,0,0,,0.294,0,0,0
UNIT_095,7/12/24,0,1.683,7,1,1137.3,197,6,1.299,0.495,0,0.0114,57.22,0,0,,0.364,0,0,0
UNIT_117,1/22/23,6,4.649,12,1,2917.4,210,1,2.606,0.334,1,0.021,3.68,0,1,,0.214,0,0,0
UNIT_018,11/1/24,4,6.36,9,1,4624.46,122,7,1,0.209,2,0.0251,39.13,0,1,,0.621,1,0,0
UNIT_029,4/20/23,3,2.781,2,0,2025.53,139,20,4.396,0.276,2,0.0166,52.87,0,0,,0.012,0,0,0
UNIT_106,12/4/24,7,9.673,11,5,19426.4,12,22,3.156,0.267,0,0.031,94.61,0,1,,0.438,1,0,0
UNIT_090,9/20/23,7,6.009,17,4,13885.93,324,1,2.993,0.086,1,0.0365,67.64,0,0,,0.53,0,0,0
UNIT_088,11/28/23,2,6.741,3,0,5918.74,21,7,4.408,0.334,0,0.0074,40.6,0,1,,0.379,1,0,0
UNIT_110,4/27/23,4,2.856,0,2,4400.45,10,6,1.735,0.368,1,0,82.89,0,0,,0.174,0,0,0
UNIT_015,6/4/23,3,5.461,9,0,1028.9,231,17,2.583,0.087,3,0.0033,57.47,0,0,,0.018,0,0,0
UNIT_054,6/6/23,3,2.296,13,0,11531.04,126,23,3.249,0.132,2,0.0303,51.1,0,0,,0.317,0,1,13865.83
UNIT_049,2/26/24,8,5.656,5,2,13257.96,388,28,3.841,0.232,0,0.0221,38.34,0,1,,0.034,0,0,0
UNIT_053,3/31/24,2,2.392,6,2,2134.23,368,8,3.319,0.456,0,0,64.35,0,0,,0.181,0,0,0
UNIT_082,9/10/24,1,5.791,6,2,3899.24,53,8,1.702,0.223,1,0.0121,47.06,0,0,,0.384,0,0,0
UNIT_104,12/9/24,4,1.447,10,0,1805.57,386,25,1.567,0.24,2,0.0127,73.97,0,0,Near miss detected during scheduled change. No loss recorded.,0.327,0,0,0
UNIT_068,9/3/23,2,2.489,14,2,857.14,347,18,2.865,0.357,1,0.0213,48.69,0,0,,0.518,1,0,0
UNIT_045,5/20/24,0,2.012,2,0,412.17,36,22,2.371,0.153,2,0.0053,1,0,0,,0.416,0,0,0
UNIT_044,6/17/23,5,6.297,0,3,7054.32,268,12,3.472,0.209,2,0.0197,39.62,0,0,,0.317,0,0,0
UNIT_034,3/23/23,4,4.753,8,1,1336.61,248,24,3.029,0.116,0,0.0063,29.36,0,0,,0.213,0,0,0
UNIT_066,11/15/23,2,5.265,15,0,14664.87,187,22,2.728,0.068,0,0.0158,47.95,0,0,,0.156,0,0,0
UNIT_095,8/6/24,4,4.045,1,2,1984.8,84,1,2.033,0.311,2,0.0231,72.45,0,0,Process failure leading to 1004 loss; root cause: human error; impacted accounts: multiple.,0.471,0,0,0
UNIT_051,8/7/24,1,1.174,5,1,6202.68,362,13,4.166,0.617,1,0.0086,72.08,0,0,,0.15,2,0,0
UNIT_101,3/6/24,3,5.952,2,2,2411.29,215,4,3.697,0.461,0,0.0033,49.34,0,0,,0.287,2,0,0
UNIT_007,5/11/23,5,4.035,3,2,7391.13,167,9,1.923,0.293,2,0.0143,53.19,0,0,,0.033,0,0,0
UNIT_119,10/24/24,3,2.764,5,0,4535.29,376,8,3.03,0.388,0,0.0207,58.67,0,0,,0.245,0,0,0
